id,"text","author"
id5189,"Something moves in the room.","WKL"
id6037,"Lady Jane’s carriage was driving away.","WKL"
id4728,"CHAPTER III.","ACR"
id4133,"_Tusks_.","ACR"
id679,"Come, come, we are not so far wrong, after all, said Holmes.","ACD"
id6913,"Mr. Francis Clare had hitherto remained modestly in the background.","WKL"
id1149,"It ran:          As you value your life or your reason keep away from the moor.","ACD"
id3579,"By Jove, though, if this goes through—— Words failed him.","ACR"
id2163,"Slinking along under the very shadow of the great convent, we picked our way slowly and carefully among the piles of ruins until we came to a large chestnut tree.","ACD"
id6445,"A faint flush rose on her cheeks—her eyes brightened—she stirred the tea round and round in her cup in a restless, impatient manner which was not natural to her.","WKL"
id3776,"I got your wire and came up at once.","ACR"
id549,"This to a butcher's boy, a maid, and one or two loafers who had collected.","ACD"
id1132,"Only a joke, as like as       not.","ACD"
id4704,"In truth, he presented a sorry spectacle, being literally plastered with mud.","ACR"
id4998,"Oh, no!","WKL"
id1872,"Suppose that I got clear away, she would be in their hands until I could come back with help, for single-handed I could not hope to clear a way for her.","ACD"
id4265,"Mrs. Cavendish gave me some tea, and her few quiet remarks heightened my first impression of her as a thoroughly fascinating woman.","ACR"
id5209,"She hesitated a little--then whispered, I must!","WKL"
id3300,"But—I demand pardon if I am dense, madame—surely it is possible to visit Yardly Chase without taking the diamond with you?","ACR"
id2299,"I took out my phial and emptied it into the cup of wine.","ACD"
id5049,"Sign, I insist on it!","WKL"
id6407,"Thank you, my dear, said good-natured Mr. Vanstone.","WKL"
id1442,"They wept bitterly when they were sent away, and ten French soldiers were found floating in the canals that night.","ACD"
id3930,"Poirot introduced himself and explained the purpose of our visit, adding that Insurance Companies were bound to investigate fully in a case of this kind.","ACR"
id2608,"Take off the brown one and put on the other black one.","ACR"
id2033,"I am prepared to waive my rank and to give you every satisfaction in the name of the Hussars of Conflans.","ACD"
id6538,"Here am I to set you the example.","WKL"
id3548,"Also I wanted to ask of Lady Yardly if she recollected at all the postmarks on the letters she received?","ACR"
id5740,"This is an awkward business, Delamayn, he said.","WKL"
id2574,"You grant that the Gibraltar skull is the most primitive of the Neanderthal skulls found?","ACR"
id3145,"POIROT INVESTIGATES     I     The Adventure of The Western Star  I was standing at the window of Poirot’s rooms looking out idly on the street below.","ACR"
id6643,"Four, five, six—and he was gone.","WKL"
id4647,"In the boudoir.","ACR"
id3131,"He was tall and broad-shouldered, wore a dark overcoat and black boots, a bowler hat.","ACR"
id3158,"The great detective, _mon ami_, chooses, as ever, the simplest course.","ACR"
id1522,"Here he is, said he.","ACD"
id6589,"The younger lady—  You are acquainted with Mrs. Vanstone, I suppose?","WKL"
id408,"His head was enormous, the largest I have ever seen upon a human being.","ACD"
id188,"I am conscious of it myself.","ACD"
id908,"Yes; they were on the edge of the path on the same side as the       moor-gate.","ACD"
id6346,"It was a strange name to have given her?","WKL"
id1484,"A good soldier in an enemy's country should everywhere and at all times be on the alert.","ACD"
id808,"That night he went out             as usual for his nocturnal walk, in the course of which he             was in the habit of smoking a cigar.","ACD"
id2448,"I have.","ACR"
id6669,"Of that second marriage Mrs. Vanstone herself was the only issue.","WKL"
id3111,"No, I admitted.","ACR"
id5396,"Yes: ‘the rich Sir Thomas,’ as you call him.","WKL"
id2182,"But when I heard a deep groan from below, and the Spaniard leaned over the parapet and laughed aloud, I understood what had occurred.","ACD"
id2365,"It was the Manager.","ACR"
id4048,"A tall young man was striding up the drive towards us.","ACR"
id257,"What do you know of Professor Challenger?","ACD"
id6234,"Let the house reveal its own secrets; and, one by one, as they descend the stairs from their beds, let the sleepers disclose themselves.","WKL"
id4982,"reiterated Mrs. Treverton.","WKL"
id3929,"Dr. Bernard was an elderly man, high-shouldered and stooping, with a pleasant vagueness of manner.","ACR"
id1991,"Presently this Major Olivier asked me some questions concerning the army of Germany and as to the part which I had myself played in the campaign.","ACD"
id3498,"I never heard of all this Chinese god stuff.","ACR"
id2808,"He was a small thin man, very brown of face, with light blue eyes and a small dark beard.","ACR"
id3234,"The writing consisted of a single sentence, carefully printed like the envelope.","ACR"
id3572,"With an ejaculation, he handed it to his wife.","ACR"
id2678,"Without conscious hypocrisy, I found myself assuming the demeanour of a bereaved orphan.","ACR"
id2512,"He is inefficient, but perfectly trustworthy.","ACR"
id2480,"Let us hope that he will not come to life again, then, he remarked lightly.","ACR"
id2788,"The house and furniture had been sold, and the amount realized had just covered our debts.","ACR"
id657,"Come in!","ACD"
id2130,"You perceive that within this ring of convents and monasteries are a number of streets which branch off from a central square.","ACD"
id4253,"Too fine a day to be cooped up in the house.","ACR"
id1365,"I could swear only to the beard.","ACD"
id5560,"I don’t move in Lady Jane’s world--but I do go sometimes to the opera.","WKL"
id3806,"No, _mon ami_, but you are, as always, in a mental fog.","ACR"
id5321,"On quitting the housekeeper's room, she turned to the left, ascended a back staircase, and unlocked a door at the top of it.","WKL"
id3205,"In flocks, _mon ami_!","ACR"
id2449,"I, a woman, have had the wit and, yes, the courage—for it needs courage—to double-cross him.","ACR"
id5693,"he asked, sternly.","WKL"
id5905,"Lady Jane addressed Mr. Vanborough.","WKL"
id5815,"The visitor, innocent of all knowledge of the truth, gayly offered him her hand.","WKL"
id2257,"I stretched my hand along the wall and I came upon a man's naked foot.","ACD"
id423,"Entirely, sir--entirely!","ACD"
id74,"What does he look like?","ACD"
id5008,"Let the Secret die with you and die with me, and be never known in this world--never, never, never!","WKL"
id5710,"It is also felony (by another law) on the part of a parochial clergyman to celebrate a marriage that may be lawfully celebrated by a Roman Catholic priest.","WKL"
id3641,"In the pitch darkness of the night, the thief had found it easy to make his getaway.","ACR"
id5020,"You do!","WKL"
id2887,"I didn’t think his suggestion a very brilliant one, but it seemed to pass muster with the jury, who were obviously impatient to get home and only too pleased at being able to give a verdict of accident as opposed to suicide.","ACR"
id5178,"Once they seemed to urge her again to the dressing-table and the open letter on it, against her own will.","WKL"
id6168,"It might have been so--guesses less likely have been made at the truth, and have hit the mark.","WKL"
id3159,"He rises to see for himself.","ACR"
id1500,"When I say that he fell upon me I do not mean merely that he attacked me, but that he really did tumble upon me with all his weight.","ACD"
id1346,"His method had the additional advantage that if they were to take       a cab he was all ready to follow them.","ACD"
id5158,"She pressed her hands over her eyes, for a few minutes, and then looked at the writing again.","WKL"
id2327,"I waited until the clock struck three, and then I left the cathedral and made my way toward the Convent of the Madonna, where the assault was to be delivered.","ACD"
id4791,"She seemed to be supporting the girl, who looked utterly dazed and unlike herself.","ACR"
id5609,"He will be here directly.","WKL"
id3664,"It was not one of my most striking triumphs.","ACR"
id919,"Good heaven!","ACD"
id381,"I must tell you that he is a perfectly impossible person--absolutely impossible.","ACD"
id1388,"Here are twenty-three shillings.","ACD"
id3946,"My dear sir, I never attended him.","ACR"
id280,"I live in a nine-hundred-diameter microscope.","ACD"
id6486,"Your father and I are going to London to-morrow.","WKL"
id3045,"Mrs. James identified it as that of the lady who had come the day before.","ACR"
id3740,"Darn it all, man, roared Gregory Rolf, leaning forward, do you notice it now?","ACR"
id2659,"Yes, I do, doctor.","ACR"
id2813,"Perhaps a tea-planter.","ACR"
id855,"His heart was, I knew, affected, and the constant anxiety in       which he lived, however chimerical the cause of it might be, was       evidently having a serious effect upon his health.","ACD"
id4880,"That question had often been agitated among her fellow-servants, who were all struck by the peculiarities of her personal appearance, and rendered a little suspicious of her, as well, by an inveterate habit that she had of talking to herself.","WKL"
id5814,"There was time, if the chance only offered--there was time for him to get the visitor out of the house.","WKL"
id5620,"Sure to push his way--nobody could look at him and doubt it--sure to push his way.","WKL"
id6218,"In the summer of ‘sixty-six a Chief Judgeship fell vacant.","WKL"
id535,"You were in trouble last month for the same thing.","ACD"
id6537,"Accept the situation—as the French say.","WKL"
id2326,"There were many at prayer, so I knelt in the shadow of a pillar, and I prayed with all my heart that I might have the good luck to get out of this scrape alive, and that I might do such a deed that night as would make my name as famous in Spain as it had already become in Germany.","ACD"
id3875,"_Si, si, mon ami_, it is a pity that you study not the psychology.","ACR"
id2452,"At Kimberley, just before the war broke out?","ACR"
id4877,"In her case, Art would have seemed to be the truth, because Nature looked like falsehood.","WKL"
id3904,"Mr. Maltravers was duly examined by the Company’s own doctor, and although he was a man slightly past the prime of life was passed as being in quite sound health.","ACR"
id2812,"Not an officer, or he wouldn’t have a beard.","ACR"
id4729,"THE NIGHT OF THE TRAGEDY   To make this part of my story clear, I append the following plan of the first floor of Styles.","ACR"
id4504,"Since her marriage, of course—— he broke off, frowning.","ACR"
id2142,"Surely I can go in my uniform?","ACD"
id5761,"This was the last house on the house agent’s list, and her coachman is stupid about finding his way in strange places.","WKL"
id2359,"It was half open.","ACD"
id602,"Then I was right.","ACD"
id333,"How's that?","ACD"
id820,"It is well that this is so, for it is obviously of the             utmost importance that Sir Charles’s heir should settle at             the Hall and continue the good work which has been so sadly             interrupted.","ACD"
id4422,"Don’t mind if they’ve only sunk in a bit.","ACR"
id51,"One must wait till it comes.","ACD"
id884,"No doubt, but this was no sheep-dog.","ACD"
id5175,"She knocked nothing down, she put nothing awry; her footsteps at the fastest made no sound--the very skirts of her dress were kept as properly and prudishly composed as if it was broad daylight and the eyes of all her neighbors were looking at her.","WKL"
id4420,"True enough!","ACR"
id323,"I have recently had occasion to refresh my memory by re-reading----   You infernal liar!","ACD"
id4581,"Compared to John, he was an astoundingly difficult person to get to know.","ACR"
id2594,"Papa looked pained.","ACR"
id2868,"Mr. Flemming made all the arrangements and took me there with him.","ACR"
id3464,"But to-morrow morning we see this _milord_!","ACR"
id1559,"Had I a weapon I should have smiled at such odds as those.","ACD"
id861,"I followed the       footsteps down the yew alley, I saw the spot at the moor-gate       where he seemed to have waited, I remarked the change in the       shape of the prints after that point, I noted that there were no       other footsteps save those of Barrymore on the soft gravel, and       finally I carefully examined the body, which had not been touched       until my arrival.","ACD"
id4318,"But really, seriously, I am awfully drawn to it.","ACR"
id5859,"You appear to feel some hesitation, she said.","WKL"
id492,"You will be the fourth or fifth.","ACD"
id4134,"Money.","ACR"
id2423,"Still, you know, he is superstitious, the old man.","ACR"
id2401,"To retire!","ACR"
id3335,"From his crisply curling black head, to the tips of his patent-leather boots, he was a hero fit for romance.","ACR"
id4294,"Mrs. Inglethorp, however, seemed to notice nothing unusual.","ACR"
id4771,"We must break in the door.","ACR"
id5422,"I am afraid, my dear, you are not well this evening?","WKL"
id2393,"All the same, said the woman, I am disturbed.","ACR"
id6036,"The trampling of horses and the grating of wheels sounded outside.","WKL"
id388,"I suppose it wasn't about South America you wanted to see him?","ACD"
id1724,"All this I could have pointed out, but one might as well argue with a Mameluke about religion.","ACD"
id6108,"She said, we will meet, darling, with all the old love between us, just as she had said almost a lifetime since.","WKL"
id6398,"Though his youngest daughter might resemble him in nothing else, it was easy to see where Magdalen’s unmethodical habits came from.","WKL"
id3758,"Certainly.","ACR"
id6782,"But you are _so_ wrong about them—you are indeed!","WKL"
id1502,"One moment I had sat with my mind filled with sublime resolutions, the next I was flattened out upon the bottom of the boat, the breath dashed out of my body, and this monster pinning me down.","ACD"
id200,"Exactly.","ACD"
id5490,"Looking in _his_ face, the world saw an ugly and undemonstrative little man.","WKL"
id4712,"He laughed rather ruefully, as he described how he had discovered a very rare species of fern in an inaccessible place, and in his efforts to obtain it had lost his footing, and slipped ignominiously into a neighbouring pond.","ACR"
id6659,"Miss Garth’s doubts thronged back irresistibly on her mind as she sealed her letter to Mrs. Vanstone, with the captain’s card added by way of inclosure.","WKL"
id753,"Whereat Hugo ran from the house, crying to his grooms             that they should saddle his mare and unkennel the pack, and             giving the hounds a kerchief of the maid’s, he swung them             to the line, and so off full cry in the moonlight over the             moor.","ACD"
id2202,"Receiving no answer to his summons, the man climbed through, followed by three other fellows, all armed to the teeth.","ACD"
id5755,"He had his words to speak, and he spoke them.","WKL"
id4097,"Oh, I don’t know.","ACR"
id3706,"When did this happen?","ACR"
id6477,"The three ladies entered the morning-room; and Magdalen acknowledged Miss Garth’s reproof by banging the door.","WKL"
id4138,"Certainly.","ACR"
id5225,"It was ajar, and a dim gleam of candle-light was flickering through it.","WKL"
id108,"You should do it because you can't help yourself, because it's natural to you, because the man in you is crying out for heroic expression.","ACD"
id6586,"The persuasive man fell back a step—admired Mr. Vanstone’s governess—advanced a step again—and continued the conversation.","WKL"
id4498,"Couldn’t your brother help you?","ACR"
id2940,"No doubt I was prejudiced—the Tube incident was my own pet mystery—but there certainly seemed to me to be a connection of some kind between the two fatalities.","ACR"
id156,"I thanked him.","ACD"
id2340,"There was, as I have said, no difficulty in getting as far as the convent garden, but to pass inside the convent unquestioned was not so easy.","ACD"
id3072,"I felt my temper stirred.","ACR"
id2686,"Posterity will appreciate him.","ACR"
id3895,"_A la bonne heure_, Hastings.","ACR"
id4068,"Poirot stepped forward, and with many apologies explained that he had left his stick in the hall.","ACR"
id6261,"cried Mr. Vanstone, taking up his old felt hat and his thick walking stick from the hall table.","WKL"
id6493,"We are going—she hesitated—we are going on important family business.","WKL"
id642,"As       to the adjectives, I said, if I remember right, amiable,       unambitious, and absent-minded.","ACD"
id680,"And now, Dr. James Mortimer—        Mister, sir, Mister—a humble M.R.C.S.","ACD"
id1542,"With my eyes closed I lay motionless upon the floor.","ACD"
id1918,"Lucia!","ACD"
id6779,"On these occasions, Mr. Clare used sometimes to walk across from his cottage (in his dressing-gown and slippers), and look at the boys disparagingly, through the window or over the fence, as if they were three wild animals whom his neighbor was attempting to tame.","WKL"
id256,"I plunged instantly into my subject.","ACD"
id6517,"What does it mean?","WKL"
id4696,"We shall have a thunderstorm.","ACR"
id471,"Did you think you could match cunning with me--you with your walnut of a brain?","ACD"
id5333,"They were both of the same age--eighteen.","WKL"
id6026,"Step by step the wife’s eyes followed them with the same dreadful stare, till the door closed and shut them out.","WKL"
id105,"That's what I should like to be,--envied for my man.","ACD"
id4681,"Cynthia and I went and sat by the open window in the drawing-room.","ACR"
id4683,"She seemed excited.","ACR"
id2962,"Easiest thing in the world to drop your ticket.","ACR"
id3217,"Much, true and untrue, had been written about this famous stone which was reported to be insured for the enormous sum of fifty thousand pounds.","ACR"
id3847,"She has already wrenched out the diamond with pliers upstairs——  But we saw the necklace round her neck!","ACR"
id5319,"She signed those lines with her name--pressed them hurriedly over the blotting-pad that lay with the rest of the writing materials on the table--took the note in her hand, after first folding it up--and then, snatching at the bunch of keys, with a look all round her as if she dreaded being secretly observed, left the room.","WKL"
id4521,"It was a day of turmoil.","ACR"
id719,"I put that at 1730.","ACD"
id6214,"They warned his two sons, Julius and Geoffrey (then at college), to be careful what acquaintances they made, as they might find themselves the sons of a lord at a moment’s notice.","WKL"
id2210,"Seeing that they came and went unquestioned, I took heart and hurried on my way in the direction of the great square.","ACD"
id3597,"Her ill-humour seemed to have vanished.","ACR"
id537,"Do you give him in charge, sir?","ACD"
id59,"It's deeper.","ACD"
id4331,"The family.","ACR"
id1808,"Lucia!","ACD"
id2175,"A man was coming toward me on the roof.","ACD"
id1519,"Have you got him?","ACD"
id6278,"repeated Miss Garth, when the footman had answered the bell, and had mentioned his master’s orders.","WKL"
id4446,"Mr. Hastings, you’re honest.","ACR"
id5083,"The action attracted Mrs. Treverton's attention, and roused her sinking faculties into observation of present things.","WKL"
id2692,"The upshot seemed to be that I was left to face life with the sum of ?87, 17s.","ACR"
id1046,"He returns       immaculate in the evening with the gloss still on his hat and his       boots.","ACD"
id662,"As he entered his eyes       fell upon the stick in Holmes’s hand, and he ran towards it with       an exclamation of joy.","ACD"
id3970,"The doctor became quite apoplectic.","ACR"
id5681,"Did neither you nor the lady think of informing him on the point?","WKL"
id6766,"They had acquired a habit of meeting to smoke together on certain evenings in the week, in the cynic-philosopher’s study, and of there disputing on every imaginable subject—Mr.","WKL"
id6689,"The second part of the letter was devoted to the subject of the journey to London.","WKL"
id3354,"Ah!","ACR"
id160,"What did you want to see me about?","ACD"
id2063,"The colonel looked round in some embarrassment.","ACD"
id1194,"As it was done yesterday the       strong probability was that we should find the words in       yesterday’s issue.","ACD"
id4853,"Mathew ascended three flights of stairs--passed half-way down a long arched gallery--and knocked at another old-fashioned oak door.","WKL"
id96,"You can't hold him back.","ACD"
id1624,"If he resist us, your Excellency?","ACD"
id720,"The exact date is 1742.","ACD"
id871,"Dr. Mortimer looked strangely at us for an instant, and his voice       sank almost to a whisper as he answered.","ACD"
id960,"If you hold these views, why       have you come to consult me at all?","ACD"
id922,"And found nothing?","ACD"
id2553,"I reflected sadly that I had no one to keep my hand in with.","ACR"
id2019,"Heavens, the indignity of it!","ACD"
id1455,"I have judgment, I have memories, I have the means of comparison.","ACD"
id2765,"Then I brushed back my hair and pulled it well down over my ears again.","ACR"
id5924,"Arriving, naturally enough, at this erroneous conclusion, Lady Jane’s eyes rested for an instant on Mrs. Vanborough with a finely contemptuous expression of inquiry which would have roused the spirit of the tamest woman in existence.","WKL"
id3686,"I shook my head dubiously.","ACR"
id2296,"But a sudden thought crossed my mind.","ACD"
id4869,"It seemed to contradict, in the most startling manner, every personal assertion of youth that still existed in her face.","WKL"
id1327,"Holmes looked eagerly round for another, but no empty one was in       sight.","ACD"
id2368,"He kissed her gallantly on both cheeks in a somewhat matter-of-fact manner.","ACR"
id2145,"Remember, also, that the Spaniards take no prisoners, and that your fate will be the same in whatever dress you are taken.","ACD"
id1609,"I looked with a fearless face from one assassin to another, and I waited for some reply.","ACD"
id5035,"Some minutes elapsed before Mrs. Treverton spoke again.","WKL"
id4542,"What a lot of bottles!","ACR"
id6556,"As they came in sight of the first cottages, they passed a man, hanging about the road, who looked attentively, first at Magdalen, then at Norah.","WKL"
id5318,"Others, I believe in my conscience, will be the happier for      the hiding of the dreadful Secret which this letter      contains.","WKL"
id763,"Then the revellers rode close together, for a             great fear was on them, but they still followed over the             moor, though each, had he been alone, would have been right             glad to have turned his horse’s head.","ACD"
id4933,"not even my master?","WKL"
id3039,"She directed him to the house, and thought no more about the matter.","ACR"
id4198,"The fellow is an absolute outsider, anyone can see that.","ACR"
id2295,"And yet I could not in cold blood drive my knife into his body, although I knew how I should have prayed for such a mercy had I been in his place.","ACD"
id1513,"I waited quietly, therefore, with a heart which burned with rage, until my opportunity should come.","ACD"
id1720,"Your drunken, brawling, ignorant soldiers have undone the work of saints and heroes.","ACD"
id6818,"Subsequent communications announced his departure, under care of a trustworthy foreman, for some public works in Belgium; touched on the general benefit he appeared to derive from this new change; praised his excellent manners and address, which were of great assistance in facilitating business communications with the foreigners—and passed over in ominous silence the main question of his actual progress in the acquirement of knowledge.","WKL"
id2099,"Colonel Perrin, said Lannes, severely, it is unfair to allow this brave officer to volunteer before he has learned what the perils are to which he will be exposed.","ACD"
id617,"On what occasion would it be most probable       that such a presentation would be made?","ACD"
id785,"Dr. Mortimer drew a folded newspaper out of his pocket.","ACD"
id1655,"They were pushing someone along the passage, someone who resisted and who clung to my door as he passed.","ACD"
id2355,"Soon I had got as far as the chapel, and it was easy enough to see that the cell next door was used as a magazine, for the floor was all black with powder in front of it.","ACD"
id3346,"What nonsense, Gregory!","ACR"
id4848,"The bell rang again as Mathew went out.","WKL"
id2645,"Safety—and a Comfortable Home.","ACR"
id6754,"As for his small income, and his still smaller domestic establishment, he looked at them both from the same satirically indifferent point of view.","WKL"
id6116,"Keep it a secret!","WKL"
id1691,"he cried.","ACD"
id149,"CHAPTER II              Try Your Luck with Professor Challenger  I always liked McArdle, the crabbed, old, round-backed, red-headed news editor, and I rather hoped that he liked me.","ACD"
id2426,"He had interested her now.","ACR"
id4348,"It makes me feel as if a goose were walking over my grave.","ACR"
id4958,"Sarah took a bottle from the table, and looking attentively at the written direction on the label, said that it was not yet time to take that medicine again.","WKL"
id2095,"At the supreme moment you have but to put it to your lips and you will be dead in an instant.","ACD"
id233,"Something wonderful happened--or the man's a champion liar, which is the more probable supposeetion.","ACD"
id1618,"Again it was the grey-beard who spoke.","ACD"
id6650,"Had Mrs. Vanstone ever mentioned, in the presence of her daughters, the name of Captain Wragge?","WKL"
id4805,"Again the body arched itself in that peculiar fashion.","ACR"
id4907,"All outer noises were hushed at that first dark hour of the new day.","WKL"
id1465,"I said so, and the sappers were withdrawn.","ACD"
id6499,"The morning wore on, and nothing was seen of Mr. Vanstone.","WKL"
id5081,"Forgive him--forgive him before you die!","WKL"
id1593,"As he turned his head I recognised him.","ACD"
id6812,"I don’t care: it’s black for all that.","WKL"
id4834,"That bell is for Sarah Leeson.","WKL"
id4613,"Then he raised his hat with a flourish to Cynthia, and we drove away.","ACR"
id4823,"It's an awful thing, said the elder of the men, for us two to be alone here, at this dark time, counting out the minutes that our mistress has left to live!","WKL"
id978,"Henry is       the last of the Baskervilles.","ACD"
id2534,"In the same way, he lived quite detached from the necessities of daily life.","ACR"
id6635,"This has been a day of agreeable surprises to me.","WKL"
id1900,"It was all over.","ACD"
id6352,"Late again!","WKL"
id4472,"Who is that?","ACR"
id2630,"I should have felt happier if I could have buried him in a cave, with paintings of reindeer and flint implements, but the force of public opinion constrained a neat tomb (with marble slab) in our hideous local churchyard.","ACR"
id6307,"Perhaps not, my love—but it was as well to keep on the safe side.","WKL"
id1310,"Not a moment to lose!","ACD"
id6700,"The medical opinion, sought under the circumstances already mentioned, had now been obtained.","WKL"
id6978,"Hitherto, only the small preliminary annoyances proper to the occasion had shown themselves at Evergreen Lodge.","WKL"
id1736,"The tribunal can act without me.","ACD"
id5133,"Quite right, said the doctor.","WKL"
id1844,"I would tear the house down before they should touch her.","ACD"
id4350,"A young girl in V.A.D.","ACR"
id6765,"The association between these two widely-dissimilar men had lasted for many years, and was almost close enough to be called a friendship.","WKL"
id4324,"Like a good detective story myself, remarked Miss Howard.","ACR"
id3173,"And I—once!","ACR"
id435,"There was a brutal directness about his methods which made evasion difficult.","ACD"
id801,"In             spite of his considerable wealth he was simple in his             personal tastes, and his indoor servants at Baskerville             Hall consisted of a married couple named Barrymore, the             husband acting as butler and the wife as housekeeper.","ACD"
id5062,"The maid shuddered, as she obeyed the command which it was designed to impress on her.","WKL"
id4003,"I was changing for tea when my maid came up—one of the gardeners had just run to the house.","ACR"
id4841,"Above it were the words Lady's-Maid.","WKL"
id5417,"Kendrew, said Mr. Vanborough, when you have had enough of domestic sentiment, suppose you take a glass of wine?","WKL"
id377,"Step in here, sir.","ACD"
id6879,"Don’t go.","WKL"
id5016,"Sarah, instead of obeying, hid her face in the bed-cover, and wept bitterly.","WKL"
id2432,"Some young society beauty, who will disperse his millions faster than he acquired them.","ACR"
id5015,"Take the pen, and write what I tell you.","WKL"
id5121,"The lips that had been forming them so laboriously parted on a sudden and closed again no more.","WKL"
id4162,"I had seen very little of him for some years.","ACR"
id337,"To get there.","ACD"
id5201,"The staircase-lamp guided her out of the passage.","WKL"
id3053,"The black silk handbag which she carried contained a well-filled notecase and some loose change, a fine lace handkerchief, unmarked, and the return half of a first-class ticket to London.","ACR"
id2857,"After that I was left to my own devices, and I proceeded to carry out a plan I had formed coming home.","ACR"
id2028,"I thank you, said I. I then counted the company and found that I had to do with fourteen officers, two of whom appeared to be boys fresh from St. Cyr.","ACD"
id2864,"Undoubtedly you will be wanted at the inquest.","ACR"
id814,"He then proceeded down             the alley, and it was at the far end of it that his body             was discovered.","ACD"
id4996,"The writing-case, with a sheet of note-paper on it, was placed upon Mrs. Treverton's knees; the pen was dipped into the ink, and given to her; she paused, closed her eyes for a minute, and sighed heavily; then began to write, saying to her waiting-maid, as the pen touched the paper--Look.","WKL"
id1226,"What’s this?","ACD"
id6251,"His audience, accordingly, gave him up in despair; and the kitchen small-talk flowed back into its ordinary channels, until the clock struck eight and startled the assembled servants into separating for their morning’s work.","WKL"
id5293,"My mistress died without making me swear to do that.","WKL"
id5715,"Returning to the present case, the results stand thus: Mr. Vanborough is a single man; Mrs. Vanborough is a single woman; their child is illegitimate, and the priest, Ambrose Redman, is liable to be tried, and punished, as a felon, for marrying them.","WKL"
id5342,"Blanche’s parents were worthy people, whose first consideration was to secure, at any sacrifice, the future well-being of their child.","WKL"
id6687,"For this reason especially she perused the first half of the letter with an agreeable sense of relief.","WKL"
id3371,"Lady Yardly’s portrait had figured too often in the Society papers to allow her to remain unknown.","ACR"
id2999,"It’s difficult to say, exactly.","ACR"
id4700,"exclaimed Cynthia.","ACR"
id3889,"I went out, banging the door.","ACR"
id403,"He sat in a rotating chair behind a broad table, which was covered with books, maps, and diagrams.","ACD"
id4334,"Then, I said, much amused, you think that if you were mixed up in a crime, say a murder, you’d be able to spot the murderer right off?","ACR"
